gene,pathway
"Unfortunately, some of the paths have not been researched to provide each gene's concrete classification into the categories described. However, I managed to get some information on some genes good enough to fill most of the table's columns.",OTHER
DEPDC5,PI3K
IRF2,JAK
ITGAV,OTHER
NEGR1,OTHER
SGCZ,OTHER
SPATA31A7,OTHER
FANCF,DDR
FBXL17,OTHER
SDHD,OTHER
WWC3,HIPPO
IMMP2L,NOTCH
AMBRA1,PI3K
GPHN,NOTCH
LRRN3,NOTCH
MYD88,NFKB
SAV1,HIPPO
ANKRD11,NOTCH
MYCN,MYC
PLXNB2,NOTCH
USP22,CHROMATIN
PARD3,PI3K
PARD3B,PI3K
SMARCA1,CHROMATIN
ASXL2,CHROMATIN
LINC01001,OTHER
PTPRN2,OTHER
TENM1,CELL_CYCLE
ZNF521,NOTCH
FOXO3,PI3K
PARD6G,PI3K
ITGA9,CELL_CYCLE
EYS,NOTCH
RABAC1,PI3K
RNF111,DDR
DLG2,MAPK
MEGF6,MAPK
MIPOL1,MAPK
AGBL4,NOTCH
LSAMP,WNT
TOP1,DDR
